,out/JSAI/IT/LLM/zeroshot/20260209_193853/info.json,out/JSAI/IT/LLM/fewshot/20260209_212350/info.json,out/JSAI/IT/LLM/zeroshot/20260209_213641/info.json,out/JSAI/IT/LLM/fewshot/20260209_215202/info.json,,,,,
zero-shot/few-shot,zeroshot,fewshot,zeroshot,fewshot,zeroshot,fewshot,,,
人間/LLM,LLM,LLM,LLM,LLM,LLM,LLM,,,
何人目,1人目,1人目,2人目,2人目,3人目,3人目,,,
行1,キャリア・職場: 済,過去のキャリア: 済,キャリア・職場: 済,過去のキャリア: 未,キャリア・職場: 済,過去のキャリア: 済,,,
行2,性格: 済,現在の職務内容: 済,性格: 未,現在の職務内容: 済,性格: 済,現在の職務内容: 済,,,
行3,趣味: 済,将来のキャリアプラン: 済,趣味: 未,将来のキャリアプラン: 済,趣味: 済,将来のキャリアプラン: 済,,,
行4,思い出・エピソード: 済,性格: 済,思い出・エピソード: 未,性格: 未,思い出・エピソード: 済,性格: 済,,,
行5,悩みやストレス: 済,趣味: 済,悩みやストレス: 未,趣味: 未,悩みやストレス: 済,趣味: 済,,,
行6,,思い出・エピソード: 済,個人の基本的情報: 済,思い出・エピソード: 未,個人の基本的情報: 済,思い出・エピソード: 済,,,
行7,,悩みや不満点: 済,未来像: 済,悩みや不満点: 未,未来像: 済,悩みや不満点: 済,,,
行8,,,,個人の基本的情報: 済,家族: 済,個人の基本的情報: 済,,,
,,,,,,家族: 済,,,
,,,,,,昇進・転職: 済,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Recall,0.8,1,0.666666667,1,0.875,1,,0.780555556,1
Precision,0.8,1,0.666666667,1,0.875,1,,0.780555556,1
F1,0.8,1,0.666666667,1,0.875,1,,0.780555556,1
人手推定ペルソナ1,過去のキャリア,過去の仕事,現在の仕事,現在の仕事,家族,家族,,,
人手推定ペルソナ2,性格,現在の職務,個人の基本的な情報,個人の基本的な情報,過去の仕事,昇進や転職,,,
人手推定ペルソナ3,趣味,将来のキャリア,未来像,将来のキャリア,性格,性格,,,
,思い出・エピソード,性格,,,趣味,趣味,,,
,悩みや不満点,趣味,,,思い出・エピソード,思い出・エピソード,,,
,,思い出・エピソード,,,悩みや不満点,悩みや不満点,,,
,,悩みや不満点,,,個人の基本的な情報,個人の基本的な情報,,,
,,,,,未来像,将来のキャリア,,,
,,,,,,過去の仕事,,,
,,,,,,現在の仕事内容,,,
