,out/JSAI/IT/human/zeroshot/20260209_152939/info.json,out/JSAI/IT/human/fewshot/20260209_175107/info.json,out/JSAI/IT/human/zeroshot/20260209_191657/info.json,out/JSAI/IT/human/fewshot/20260211_005218/info.json,out/JSAI/IT/human/zeroshot/20260211_175254/info.json,out/JSAI/IT/human/fewshot/20260211_190305/info.json,,,,
zero-shot/few-shot,zeroshot,fewshot,zeroshot,fewshot,zeroshot,fewshot,,,,
人間/LLM,人間,人間,人間,人間,人間,人間,,,,
何人目,1人目,1人目,2人目,2人目,3人目,3人目,,,,
行1,思い出・エピソード: 済,思い出・エピソード: 済,思い出・エピソード: 未,思い出・エピソード: 未,思い出・エピソード: 済,思い出・エピソード: 済,,,,
行2,達成感: 済,達成感を得た瞬間: 済,達成感: 未,達成感を得た瞬間: 未,達成感: 済,達成感を得た瞬間: 済,,,,
行3,パソコン使用頻度: 済,悩みや不満点: 済,パソコン使用頻度: 未,悩みや不満点: 未,パソコン使用頻度: 済,悩みや不満点: 済,,,,
行4,悩みやストレス: 済,パソコンの使用頻度: 済,悩みやストレス: 未,パソコンの使用頻度: 未,悩みやストレス: 済,パソコンの使用頻度: 済,,,,
行5,職場環境: 済,仕事のやりがい: 済,職場環境: 未,仕事のやりがい: 未,職場環境: 済,仕事のやりがい: 済,,,,
行6,家族: 済,家族: 済,家族: 未,家族: 未,家族: 済,家族: 済,,,,
行7,仕事のモチベーション: 済,現在のキャリア: 済,仕事のモチベーション: 未,現在のキャリア: 済,仕事のモチベーション: 済,現在のキャリア: 済,,,,
行8,現在のキャリア: 済,昇進・転職: 済,現在のキャリア: 済,昇進・転職: 済,現在のキャリア: 済,昇進・転職: 済,,,,
行9,性格: 済,,性格: 済,未来像: 済,性格: 済,未来像: 済,,,,
行10,キャリア志向: 済,,キャリア志向: 済,価値観: 済,キャリア志向: 済,価値観: 済,,,,
行11,SNSの活用: 済,,SNSの活用: 済,使用しているスマートフォンアプリ: 済,SNSの活用: 済,使用しているスマートフォンアプリ: 済,,,,
行12,,,未来像: 済,通勤時の移動方法: 済,未来像: 済,通勤時の移動方法: 済,,,,
行13,,,デザインへのこだわり: 済,趣味: 済,デザインへのこだわり: 済,趣味: 済,,,,
行14,,,学習方法: 済,,趣味: 済,個人の基本的情報: 済,,,,
行15,,,趣味: 済,,個人の基本的情報: 済,学生時代の得意科目: 済,,,,
行16,,,,,学生時代の得意科目: 済,チームワーク: 済,,,,
行17,,,,,好きな食べ物: 済,,,,,
行18,,,,,意思決定のプロセス: 済,,,,,
行19,,,,,チームマネジメント: 済,,,,,
,,,,,,,,,,
Recall,0.846153846,0.666666667,0.714285714,0.833333333,0.933333333,0.941176471,,,0.831257631,0.81372549
Precision,1,1,0.625,0.714285714,0.736842105,1,,,0.787280702,0.904761905
F1,0.916666667,0.8,0.666666667,0.769230769,0.823529412,0.96969697,,,0.808671723,0.856832383
人手推定ペルソナ1,思い出・エピソード,思い出・エピソード,未来像,未来像,個人の基本的な情報,個人の基本的な情報,,,,
人手推定ペルソナ2,達成感を感じた瞬間,達成感を感じた瞬間,デザイン面での工夫,仕事や生活で大切にしていること,学生時代の得意科目,学生時代の得意科目,,,,
人手推定ペルソナ3,パソコンの使用頻度,パソコンの使用頻度,新しい知識やスキル,よく使うスマホアプリ,現在の仕事,現在の仕事,,,,
,悩みや不満点,悩みや不満点,よく使うスマホアプリ,通勤手段,管理職の課題,思い出・エピソード,,,,
,職場環境,やりがいを感じるとき,通勤手段,趣味,意思決定のプロセス,チームワークが重要と感じた場面,,,,
,仕事のモチベーション,家族,趣味,過去のキャリア,思い出・エピソード,パソコンの使用頻度,,,,
,家族,現在の仕事,過去のキャリア,,チームマネジメントで意識していること,家族,,,,
,現在の仕事,昇進や転職,,,達成感を感じた出来事,趣味,,,,
,昇進や転職,SNSの活用,,,パソコンの使用頻度,未来像,,,,
,SNSの活用,性格,,,職場での雰囲気,達成感を感じた出来事,,,,
,性格,海外での楽しみ方,,,家族,悩みや不満点,,,,
,海外での楽しみ方,在宅ワーク,,,やりがいを感じるとき,やりがいを感じるとき,,,,
,在宅ワーク,,,,SNSの活用,昇進や転職,,,,
,,,,,将来の目標,仕事や生活で大切にしていること,,,,
,,,,,趣味,よく使うスマホアプリ,,,,
,,,,,,通勤手段,,,,
,,,,,,在宅ワーク,,,,
